source_row_index,module_name,option_name,skus,qty,option_price,matched_rule_id
27,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
65,Power Cords,Rack Power Cord 2M (C13/C14 10A),450-AADY,2,50.0,UNKNOWN-000
69,External Controller,HBA465e Adapter Full Height DIB,405-BBDC,1,1309.0,UNKNOWN-000
85,SFP Modules (Multi),"Dell Networking, Cable, SFP28 to SFP28, 25GbE, Passive Copper Twinax Direct Attach Cable, 3 Meter",470-ACEV,8,984.0,UNKNOWN-000
92,,"Broadcom 57504 Quad Port 10/25GbE,SFP28, OCP NIC 3.0 Customer Install",540-BCRY,1,1262.99,UNKNOWN-000
94,,"Single, Hot-Plug MHS Power Supply, 1500W,Titanium, Customer Kit",384-BDRL,1,1048.99,UNKNOWN-000
96,,"800G Data Center NVMe Mixed Use AG Drive U2 with carrier, Customer Kit",345-BKBV,1,2617.99,UNKNOWN-000
98,,"PERC H965i Controller, Front, DCMHS, CK",403-BDMW,1,2734.99,UNKNOWN-000
100,,"Intel Xeon 6 Performance 6737P 2.9G, 32C/64T, 24GT/s, 144M Cache, Turbo, (270W) DDR5-6400,Customer Install",338-CSZN,1,10461.99,UNKNOWN-000
102,,"Intel Xeon 6 Performance 6511P 2.5G, 16C/32T, 72M Cache, Turbo, (150W) DDR5-6400,Customer Install",338-CSZP,1,1724.99,UNKNOWN-000
104,,"HBA465e Adapter Full Height/Low Profile, CK",405-BBDD,1,2399.0,UNKNOWN-000
106,,"SC Cable, SFP28 to SFP28, 25GbE, Passive Copper Twinax Direct Attach Cable, 3 Meter, Cus Kit",470-ADDO,1,230.0,UNKNOWN-000
